,Model,Num_Layers,AdaEdge,RemovalRate,AdditionRate,MAD,MADGap,MADReg,Accuracy,Energy
103,ChebNet,4,True,0.0006 ± 0.0000,0.2000 ± 0.0008,0.3211 ± 0.0829,0.1048 ± 0.0372,0.0,0.6340 ± 0.0456,286.09310455322264
104,ChebNet,4,False,0.0000 ± 0.0000,0.0000 ± 0.0000,0.2781 ± 0.1060,0.0952 ± 0.0502,0.01,0.6016 ± 0.0721,287.5560073852539
105,ChebNet,4,True,0.0005 ± 0.0001,0.1995 ± 0.0001,0.2131 ± 0.0793,0.0631 ± 0.0225,0.01,0.4826 ± 0.1050,558.7018188476562
106,ChebNet,4,False,0.0000 ± 0.0000,0.0000 ± 0.0000,0.2582 ± 0.1074,0.0941 ± 0.0404,0.1,0.4852 ± 0.1384,565.4210021972656
107,ChebNet,4,True,0.0005 ± 0.0001,0.2058 ± 0.0109,0.2854 ± 0.0775,0.1037 ± 0.0207,0.1,0.5234 ± 0.1741,308.2980163574219
108,ChebNet,5,False,0.0000 ± 0.0000,0.0000 ± 0.0000,0.1830 ± 0.0392,0.0995 ± 0.0285,0.0,0.2552 ± 0.1346,728.7090026855469
109,ChebNet,5,True,0.0006 ± 0.0001,0.3384 ± 0.0626,0.2773 ± 0.1081,0.1073 ± 0.0521,0.0,0.1796 ± 0.0630,278.6437622070313
110,ChebNet,5,False,0.0000 ± 0.0000,0.0000 ± 0.0000,0.2626 ± 0.1483,0.1178 ± 0.0545,0.01,0.1904 ± 0.0799,753.7312744140625
111,ChebNet,5,True,0.0006 ± 0.0001,0.2953 ± 0.0137,0.1516 ± 0.0215,0.0630 ± 0.0092,0.01,0.2032 ± 0.1317,785.9835815429688
112,ChebNet,5,False,0.0000 ± 0.0000,0.0000 ± 0.0000,0.2030 ± 0.1346,0.0702 ± 0.0390,0.1,0.3594 ± 0.1439,825.0519317626953
113,ChebNet,5,True,0.0007 ± 0.0001,0.3332 ± 0.0246,0.1835 ± 0.0500,0.1126 ± 0.0349,0.1,0.2342 ± 0.0663,736.0957763671875
114,ChebNet,6,False,0.0000 ± 0.0000,0.0000 ± 0.0000,0.1256 ± 0.0450,0.0717 ± 0.0195,0.0,0.1796 ± 0.0818,1441.5259185791015
115,ChebNet,6,True,0.0004 ± 0.0001,0.4676 ± 0.0488,0.1120 ± 0.0832,0.0675 ± 0.0431,0.0,0.1692 ± 0.0776,3086.0654113769533
116,ChebNet,6,False,0.0000 ± 0.0000,0.0000 ± 0.0000,0.1119 ± 0.0438,0.0671 ± 0.0223,0.01,0.1432 ± 0.0740,1491.442120361328
117,ChebNet,6,True,0.0005 ± 0.0002,0.4453 ± 0.0567,0.1162 ± 0.0809,0.0555 ± 0.0360,0.01,0.1312 ± 0.0369,3890.500634765625
118,ChebNet,6,False,0.0000 ± 0.0000,0.0000 ± 0.0000,0.1702 ± 0.0798,0.1135 ± 0.0524,0.1,0.1154 ± 0.0359,1048.9442504882813
119,ChebNet,6,True,0.0005 ± 0.0001,0.4104 ± 0.0786,0.1379 ± 0.0460,0.0573 ± 0.0094,0.1,0.1566 ± 0.0775,1881.5744506835938
120,EnhancedGAT,2,False,0.0000 ± 0.0000,0.0000 ± 0.0000,0.5020 ± 0.0862,0.2963 ± 0.0460,0.0,0.7352 ± 0.0324,0.05375968143343925
121,EnhancedGAT,2,True,0.0003 ± 0.0000,0.1996 ± 0.0003,0.5270 ± 0.1193,0.2758 ± 0.0561,0.0,0.7380 ± 0.0168,0.05470419749617576
122,EnhancedGAT,2,False,0.0000 ± 0.0000,0.0000 ± 0.0000,0.5333 ± 0.1196,0.2927 ± 0.0563,0.01,0.7248 ± 0.0378,0.05874582752585411
123,EnhancedGAT,2,True,0.0003 ± 0.0000,0.1996 ± 0.0004,0.4965 ± 0.0712,0.2872 ± 0.0289,0.01,0.7452 ± 0.0172,0.054693254083395
124,EnhancedGAT,2,False,0.0000 ± 0.0000,0.0000 ± 0.0000,0.4511 ± 0.0856,0.2656 ± 0.0459,0.1,0.7404 ± 0.0298,0.054776803404092786
125,EnhancedGAT,2,True,0.0003 ± 0.0000,0.1993 ± 0.0001,0.6602 ± 0.1294,0.3326 ± 0.0237,0.1,0.7402 ± 0.0092,0.05217323303222656
126,EnhancedGAT,3,False,0.0000 ± 0.0000,0.0000 ± 0.0000,0.0000 ± 0.0000,0.0000 ± 0.0000,0.0,0.2386 ± 0.1090,0.0003795693803112954
127,EnhancedGAT,3,True,0.0001 ± 0.0001,0.5981 ± 0.0396,0.0000 ± 0.0000,0.0001 ± 0.0000,0.0,0.2836 ± 0.1718,0.0002446166385198012
128,EnhancedGAT,3,False,0.0000 ± 0.0000,0.0000 ± 0.0000,0.0001 ± 0.0001,0.0002 ± 0.0002,0.01,0.3922 ± 0.1173,0.000299910141620785
